ダウンロードした時刻：2021/09/08 10:03:06

,東京,東京,東京,東京,東京,東京,東京,東京
年月日,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm)
,,,,,,,,
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2020/5/1,0,1,8,1,0,1,8,1
2020/5/2,0,1,8,1,0,1,8,1
2020/5/3,0,1,8,1,0,1,8,1
2020/5/4,2.0,0,8,1,1.0,0,8,1
2020/5/5,0.0,0,8,1,0.0,0,8,1
2020/5/6,19.0,0,8,1,8.5,0,8,1
2020/5/7,0.5,0,8,1,0.5,0,8,1
2020/5/8,0,1,8,1,0,1,8,1
2020/5/9,0.0,0,8,1,0.0,0,8,1
2020/5/10,1.0,0,8,1,1.0,0,8,1
2020/5/11,0.5,0,8,1,0.5,0,8,1
2020/5/12,0.0,0,8,1,0.0,0,8,1
2020/5/13,0,1,8,1,0,1,8,1
2020/5/14,0,1,8,1,0,1,8,1
2020/5/15,0.0,0,8,1,0.0,0,8,1
2020/5/16,24.0,0,8,1,4.0,0,8,1
2020/5/17,0.0,0,8,1,1.0,0,8,1
2020/5/18,2.0,0,8,1,0.5,0,8,1
2020/5/19,54.5,0,8,1,12.5,0,8,1
2020/5/20,3.0,0,8,1,1.5,0,8,1
2020/5/21,0.5,0,8,1,0.5,0,8,1
2020/5/22,1.0,0,8,1,0.5,0,8,1
2020/5/23,0.0,0,8,1,0.5,0,8,1
2020/5/24,0,1,8,1,0,1,8,1
2020/5/25,0,1,8,1,0,1,8,1
2020/5/26,0.5,0,8,1,0.5,0,8,1
2020/5/27,0.0,0,8,1,0.0,0,8,1
2020/5/28,9.5,0,8,1,9.0,0,8,1
2020/5/29,0,1,8,1,0,1,8,1
2020/5/30,0,1,8,1,0,1,8,1
2020/5/31,0.0,0,8,1,0.0,0,8,1
2020/6/1,4.0,0,8,1,1.5,0,8,1
2020/6/2,0.0,0,8,1,0.5,0,8,1
2020/6/3,0.0,0,8,1,0.0,0,8,1
