package,component,description
_ipyw_jlab_nb_ext_conf,,"A configuration metapackage for enabling Anaconda-bundled jupyter extensions"
_libgcc_mutex,,"Mutex for libgcc and libgcc-ng"
_openmp_mutex,miniforge3,"OpenMP Implementation Mutex"
affine,,"Matrices describing affine transformation of the plane."
agate,,"A data analysis library that is optimized for humans instead of machines."
agate-dbf,,"adds read support for dbf files to agate."
agate-excel,,"adds read support for Excel files (xls and xlsx) to agate."
aiobotocore,,"Async client for aws services using botocore and aiohttp"
aiofiles,,"File support for asyncio"
aiohttp,,"Async http client/server framework (asyncio)"
alabaster,,"Configurable, Python 2+3 compatible Sphinx theme."
alembic,,"A database migration tool for SQLAlchemy."
anaconda-clean,,"Delete Anaconda configuration files"
anaconda-client,,"anaconda.org command line client library"
anaconda-navigator,,"Anaconda Navigator"
anaconda-project,,"Tool for encapsulating, running, and reproducing data science projects"
ansi2html,,"Convert text with ANSI color codes to HTML or to LaTeX."
ant,,"Java build tool"
anyio,jupyterlab,"High level compatibility layer for multiple asynchronous event loop implementations on Python"
anyqt,,"PyQt4/PyQt5 compatibility layer."
appdirs,,"A small Python module for determining appropriate platform-specific dirs."
apptools,,"application tools"
argcomplete,,"Bash tab completion for argparse"
argh,,"The Natural CLI."
argon2-cffi,jupyterlab,"The secure Argon2 password hashing algorithm."
arrow,,"Better dates & times for Python"
asn1crypto,,"Python ASN.1 library with a focus on performance and a pythonic API"
astroid,,"A abstract syntax tree for Python with inference support."
astropy,,"Community-developed Python Library for Astronomy"
async-timeout,,"Timeout context manager for asyncio programs"
async_generator,jupyterlab,"Async generators and context managers for Python 3.5+"
asyncpg,,"A fast PostgreSQL Database Client Library for Python/asyncio."
asyncpgsa,,"A fast PostgreSQL Database Client Library for Python/asyncio."
atomicwrites,,"Atomic file writes"
attrs,jupyterlab,"the Python package that will bring back the joy of writing classes by relieving you from the drudgery of implementing object protocols (aka dunder methods)."
automake,,"Tool for automatically generating Makefile.in files compliant with the GNU Coding Standards."
automat,,"self-service finite-state machines for the programmer on the go"
autopep8,,"A tool that automatically formats Python code to conform to the PEP 8 style guide"
autovizwidget,,"An Auto-Visualization library for pandas dataframes"
babel,jupyterlab,"Utilities to internationalize and localize Python applications"
backcall,jupyterlab,"Specifications for callback functions passed in to an API"
backports,jupyterlab,"A package to ensure the backports namespace is available."
backports.functools_lru_cache,jupyterlab,"from Python 3.3 as published at ActiveState."
backports.os,,"Backport of new features in Python's os module"
backports.shutil_get_terminal_size,,"A backport of the get_terminal_size function from Python 3.3's shutil."
backports.weakref,,"Backport of new features in Python's weakref module"
bandersnatch,,"PyPI mirror client according to PEP 381"
bcrypt,,"Modern password hashing for your software and your servers"
beautifulsoup4,,"Python library designed for screen-scraping"
biopython,,"Collection of freely available tools for computational molecular biology Agreement"
bitarray,,"efficient arrays of booleans -- C extension"
bkcharts,,"High level chart types built on top of Bokeh"
black,,"The Uncompromising Code Formatter"
blas,,"Basic Linear Algebra Subprograms"
bleach,jupyterlab,"Easy, whitelist-based HTML-sanitizing tool"
blist,,"Replacement for Python lists with better performance"
blosc,,"A blocking, shuffling and loss-less compression library that can be faster than `memcpy()`"
bokeh,,"Statistical and novel interactive HTML plots for Python"
boost,,"Free peer-reviewed portable C++ source libraries."
boto,,"Amazon Web Services Library"
boto3,,"Amazon Web Services SDK for Python"
botocore,,"Low-level, data-driven core of boto 3."
bottlechest,,"fast NumPy array functions specialized for use in Orange"
bottleneck,,"Fast NumPy array functions written in Cython."
brotli,,"Brotli compression format"
brotlipy,miniforge3,"Python bindings to the Brotli compression library"
brunsli,,"Practical JPEG Repacker"
bsdiff4,,"binary diff and patch using the BSDIFF4-format"
btrees,,"scalable persistent object containers"
bz2file,,"Read and write bzip2-compressed files."
bzip2,,"high-quality data compressor"
c-ares,,"an asynchronous resolver library"
ca-certificates,miniforge3,"Certificates for use with other packages."
cachecontrol,,"httplib2 caching algorithms for use with requests"
cached-property,,"A decorator for caching properties in classes."
cairo,,"a 2D graphics library with support for multiple output devices."
capturer,,"Easily capture stdout/stderr of the current process and subprocesses."
cartopy,,"A library providing cartographic tools for python"
certifi,miniforge3,"Python package for providing Mozilla's CA Bundle."
cffi,miniforge3,"Foreign Function Interface for Python calling C code."
chainer,,"A flexible framework of neural networks"
chameleon,,"HTML/XML template engine for Python"
chardet,miniforge3,"Universal character encoding detector"
charls,,"a C++ implementation of the JPEG-LS standard for lossless and near-lossless image compression and decompression."
charset-normalizer,miniforge3,"The Real First Universal Charset Detector. Open, modern and actively maintained alternative to Chardet."
chest,,"Simple on-disk dictionary"
click,,"Python composable command line interface toolkit"
click-plugins,,"An extension module for click to enable registering CLI commands via setuptools entry-points"
cligj,,"Click params for commmand line interfaces to GeoJSON."
cloudpickle,,"Extended pickling support for Python objects"
clyent,,"Command line client library for windows and posix"
cmake,,"CMake is an extensible, open-source system that manages the build process"
colander,,"A serialization, deserialization, and validation library"
colorama,,"Cross-platform colored terminal text"
colorcet,,"Collection of perceptually uniform colormaps"
conda,miniforge3,"OS-agnostic, system-level binary package and environment manager."
conda-build,,"tools for building conda packages"
conda-env,,"Tools for interacting with conda environments."
conda-verify,,"tool for validating conda recipes and conda packages"
conda-package-handling,miniforge3,"Create and extract conda packages of various formats"
configargparse,,"A drop-in replacement for argparse that allows options to also be set via config files and/or environment variables."
configobj,,"Config file reading, writing and validation."
console_shortcut,,"Console shortcut creator for Windows (using menuinst)"
constantly,,"Symbolic constants in Python"
constructor,,"create installer from conda packages"
contextlib2,,"Backports and enhancements for the contextlib module 2"
cornice,,"build and document Web Services with Pyramid"
coverage,,"Code coverage measurement for Python"
cryptography,miniforge3,"Provides cryptographic recipes and primitives to Python developers"
cssselect,,"CSS Selectors for Python"
csvkit,,"A suite of command-line tools for working with CSV, the king of tabular file formats."
cubes,,"A light-weight Python OLAP framework for data warehouses"
cudatoolkit,,"CUDA Toolkit - Including CUDA runtime and headers"
cudnn,,"NVIDIA's cuDNN deep neural network acceleration library"
curl,,"tool and library for transferring data with URL syntax"
cvxcanon,,"Low-level library to perform the matrix building step in CVXPY"
cycler,matplotlib,"Composable style cycles."
cython,,"The Cython compiler for writing C extensions for the Python language"
cytoolz,,"Cython implementation of Toolz. High performance functional utilities"
dask,,"Parallel PyData with Task Scheduling"
dask-core,,"Parallel Python with task scheduling"
dask-glm,,"Generalized Linear Models in Dask"
dask-ml,,"Distributed and parallel machine learning using dask."
datashader,,"Data visualization toolchain based on aggregating into a grid"
datashape,,"A data description language."
datrie,,"Super-fast, efficiently stored Trie for Python, uses libdatrie"
db,,"The Berkeley DB embedded database system."
dbf,,"Pure python package for reading/writing dBase, FoxPro, and Visual FoxPro .dbf files (including memos)"
dbus,,"Simple message bus system for applications to talk to one another"
debugpy,jupyterlab,"An implementation of the Debug Adapter Protocol for Python"
decorator,jupyterlab,"Better living through Python with decorators."
defusedxml,jupyterlab,"XML bomb protection for Python stdlib modules 2.0"
diff-match-patch,,"Diff Match Patch is a high-performance library in multiple languages that manipulates plain text"
dill,,"Serialize all of python (almost)"
distlib,,"Distribution utilities License"
distributed,,"Distributed computing with Dask"
django,,"A high-level Python Web framework that encourages rapid development and clean, pragmatic design."
dnspython,,"A DNS toolkit for Python"
docopt,,"Pythonic argument parser, that will make you smile"
docutils,,"Python Documentation Utilities"
dropbox,,"Official Dropbox API Client"
ecdsa,,"ECDSA cryptographic signature library (pure python)"
ecos,,"Python interface for ECOS, a lightweight conic solver for second-order cone programming"
elasticsearch,,"Python client for Elasticsearch"
elasticsearch-async,,"Async backend for elasticsearch-py"
elasticsearch-dsl,,"Higher-level Python client for Elasticsearch"
enaml,,"Declarative DSL for building rich user interfaces in Python"
entrypoints,jupyterlab,"Discover and load entry points from installed packages."
envisage,,"extensible application framework"
ephem,,"Basic astronomical computations for Python"
et_xmlfile,,"An implementation of lxml.xmlfile for the standard library"
expat,,"Expat XML parser library in C"
fastcache,,"C implementation of Python 3 lru_cache"
fastparquet,,"Python interface to the parquet format-3"
feedparser,,"parse feeds in Python"
filelock,,"A platform independent file lock."
flake8,,"Your Tool For Style Guide Enforcement"
flask,,"A microframework based on Werkzeug, Jinja2 and good intentions."
flask-cors,,"A Flask extension adding a decorator for CORS support"
flask-login,,"User session management for Flask"
flask-socketio,,"Socket.IO integration for Flask applications"
flask-wtf,,"Simple integration of Flask and WTForms"
fontconfig,,"A library for configuring and customizing font access."
freetds,,"FreeTDS is a free implementation of Sybase's DB-Library, CT-Library, and ODBC libraries"
freetype,matplotlib,"A Free, High-Quality, and Portable Font Engine"
fribidi,,"The Free Implementation of the Unicode Bidirectional Algorithm."
fsspec,,"A specification for pythonic filesystems"
fuel,,"data pipeline framework for machine learning"
furl,,"URL manipulation made simple."
future,,"Clean single-source support for Python 3 and 2"
gensim,,"Topic Modelling for Humans"
